date,crop,region,pricePerKg,quantitySoldKg
2025-05-28,wheat,"Nashik, Maharashtra",29.15,1801
2025-06-04,wheat,"Nashik, Maharashtra",26.61,1371
2025-06-11,wheat,"Nashik, Maharashtra",27.25,843
2025-06-18,wheat,"Nashik, Maharashtra",28.93,1680
2025-06-25,wheat,"Nashik, Maharashtra",27.64,1275
2025-07-02,wheat,"Nashik, Maharashtra",23.42,585
2025-07-09,wheat,"Nashik, Maharashtra",25.83,952
2025-07-16,wheat,"Nashik, Maharashtra",24.6,1172
2025-07-23,wheat,"Nashik, Maharashtra",23.19,959
2025-07-30,wheat,"Nashik, Maharashtra",24.53,1308
2025-08-06,wheat,"Nashik, Maharashtra",20.59,1267
2025-08-13,wheat,"Nashik, Maharashtra",20.41,386
2025-08-20,wheat,"Nashik, Maharashtra",21.76,943
2025-08-27,wheat,"Nashik, Maharashtra",20.85,311
2025-09-03,wheat,"Nashik, Maharashtra",20.21,407
2025-09-10,wheat,"Nashik, Maharashtra",19.54,787
2025-09-17,wheat,"Nashik, Maharashtra",19.15,751
2025-09-24,wheat,"Nashik, Maharashtra",19.41,1108
2025-10-01,wheat,"Nashik, Maharashtra",17.89,848
2025-10-08,wheat,"Nashik, Maharashtra",17.98,535
2025-10-15,wheat,"Nashik, Maharashtra",18.96,442
2025-10-22,wheat,"Nashik, Maharashtra",18.19,883
2025-10-29,wheat,"Nashik, Maharashtra",17.66,596
2025-11-05,wheat,"Nashik, Maharashtra",20.63,1171
2025-11-12,wheat,"Nashik, Maharashtra",18.49,373
2025-11-19,wheat,"Nashik, Maharashtra",18.95,1107
2025-11-26,wheat,"Nashik, Maharashtra",20.41,1052
2025-12-03,wheat,"Nashik, Maharashtra",21.48,354
2025-12-10,wheat,"Nashik, Maharashtra",22.71,975
2025-12-17,wheat,"Nashik, Maharashtra",22.15,1297
2025-12-24,wheat,"Nashik, Maharashtra",22.28,183
2025-12-31,wheat,"Nashik, Maharashtra",22.73,515
2026-01-07,wheat,"Nashik, Maharashtra",25.54,1420
2026-01-14,wheat,"Nashik, Maharashtra",23.97,350
2026-01-21,wheat,"Nashik, Maharashtra",23.91,919
2026-01-28,wheat,"Nashik, Maharashtra",24.43,986
2026-02-04,wheat,"Nashik, Maharashtra",29.03,522
2026-02-11,wheat,"Nashik, Maharashtra",28.77,611
2026-02-18,wheat,"Nashik, Maharashtra",28.3,1549
2026-02-25,wheat,"Nashik, Maharashtra",29.54,359
2026-03-04,wheat,"Nashik, Maharashtra",30.42,680
2026-03-11,wheat,"Nashik, Maharashtra",28.9,1462
2026-03-18,wheat,"Nashik, Maharashtra",31.26,657
2026-03-25,wheat,"Nashik, Maharashtra",31.68,1115
2026-04-01,wheat,"Nashik, Maharashtra",31.39,265
2026-04-08,wheat,"Nashik, Maharashtra",30.07,1685
2026-04-15,wheat,"Nashik, Maharashtra",33.26,1136
2026-04-22,wheat,"Nashik, Maharashtra",33.02,1196
2026-04-29,wheat,"Nashik, Maharashtra",30.44,457
2026-05-06,wheat,"Nashik, Maharashtra",30.24,1665
2026-05-13,wheat,"Nashik, Maharashtra",32.08,1604
2026-05-20,wheat,"Nashik, Maharashtra",32.49,575
2026-05-27,wheat,"Nashik, Maharashtra",30.11,405
2026-06-03,wheat,"Nashik, Maharashtra",29.7,1518
2026-06-10,wheat,"Nashik, Maharashtra",28.43,1132
2026-06-17,wheat,"Nashik, Maharashtra",27.59,1584
2026-06-24,wheat,"Nashik, Maharashtra",30.07,1652
2026-07-01,wheat,"Nashik, Maharashtra",26.59,1345
2026-07-08,wheat,"Nashik, Maharashtra",24.19,1157
2026-07-15,wheat,"Nashik, Maharashtra",25.16,1410
2026-07-22,wheat,"Nashik, Maharashtra",26.63,1323
2026-07-29,wheat,"Nashik, Maharashtra",26.68,546
2025-01-01,wheat,"Indore, MP",23.85,340
2025-01-08,wheat,"Indore, MP",24.11,1316
2025-01-15,wheat,"Indore, MP",22.33,1261
2025-01-22,wheat,"Indore, MP",23.01,596
2025-01-29,wheat,"Indore, MP",23.97,495
2025-02-05,wheat,"Indore, MP",24.57,507
2025-02-12,wheat,"Indore, MP",25.55,1489
2025-02-19,wheat,"Indore, MP",27.58,633
2025-02-26,wheat,"Indore, MP",26.58,809
2025-03-05,wheat,"Indore, MP",29.93,1091
2025-03-12,wheat,"Indore, MP",29.81,425
2025-03-19,wheat,"Indore, MP",29.95,525
2025-03-26,wheat,"Indore, MP",29.95,663
2025-04-02,wheat,"Indore, MP",27.81,956
2025-04-09,wheat,"Indore, MP",30.01,759
2025-04-16,wheat,"Indore, MP",29.61,1081
2025-04-23,wheat,"Indore, MP",28.86,1186
2025-04-30,wheat,"Indore, MP",28.43,1401
2025-05-07,wheat,"Indore, MP",26.83,1707
2025-05-14,wheat,"Indore, MP",28.7,1381
2025-05-21,wheat,"Indore, MP",29.42,1303
2025-05-28,wheat,"Indore, MP",28.15,353
2025-06-04,wheat,"Indore, MP",27.01,707
2025-06-11,wheat,"Indore, MP",25.92,1465
2025-06-18,wheat,"Indore, MP",27.24,664
2025-06-25,wheat,"Indore, MP",25.96,822
2025-07-02,wheat,"Indore, MP",23.36,584
2025-07-09,wheat,"Indore, MP",22.6,746
2025-07-16,wheat,"Indore, MP",24.93,1080
2025-07-23,wheat,"Indore, MP",24.85,1000
2025-07-30,wheat,"Indore, MP",23.16,912
2025-08-06,wheat,"Indore, MP",19.54,501
2025-08-13,wheat,"Indore, MP",20.63,834
2025-08-20,wheat,"Indore, MP",21.21,703
2025-08-27,wheat,"Indore, MP",20.7,418
2025-09-03,wheat,"Indore, MP",18.62,1074
2025-09-10,wheat,"Indore, MP",19.36,329
2025-09-17,wheat,"Indore, MP",17.78,681
2025-09-24,wheat,"Indore, MP",19.03,498
2025-10-01,wheat,"Indore, MP",18.63,882
2025-10-08,wheat,"Indore, MP",18.34,369
2025-10-15,wheat,"Indore, MP",17.33,173
2025-10-22,wheat,"Indore, MP",17.45,613
2025-10-29,wheat,"Indore, MP",18.77,221
2025-11-05,wheat,"Indore, MP",18.64,798
2025-11-12,wheat,"Indore, MP",18.16,865
2025-11-19,wheat,"Indore, MP",18.86,405
2025-11-26,wheat,"Indore, MP",19.24,162
2025-12-03,wheat,"Indore, MP",21.75,1050
2025-12-10,wheat,"Indore, MP",20.14,658
2025-12-17,wheat,"Indore, MP",20.33,1264
2025-12-24,wheat,"Indore, MP",21.22,232
2025-12-31,wheat,"Indore, MP",20.55,1139
2026-01-07,wheat,"Indore, MP",24.12,1241
2026-01-14,wheat,"Indore, MP",24.75,1484
2026-01-21,wheat,"Indore, MP",24.56,1435
2026-01-28,wheat,"Indore, MP",25.45,996
2026-02-04,wheat,"Indore, MP",28.09,963
2026-02-11,wheat,"Indore, MP",28.48,1026
2026-02-18,wheat,"Indore, MP",28.73,1312
2026-02-25,wheat,"Indore, MP",27.37,604
2026-03-04,wheat,"Indore, MP",28.81,1251
2026-03-11,wheat,"Indore, MP",30.68,1067
2026-03-18,wheat,"Indore, MP",30.22,677
2026-03-25,wheat,"Indore, MP",28.28,695
2026-04-01,wheat,"Indore, MP",29.8,769
2026-04-08,wheat,"Indore, MP",30.81,474
2026-04-15,wheat,"Indore, MP",29.7,1377
2026-04-22,wheat,"Indore, MP",31.48,354
2026-04-29,wheat,"Indore, MP",30.41,1131
2026-05-06,wheat,"Indore, MP",29.65,570
2026-05-13,wheat,"Indore, MP",29.69,1674
2026-05-20,wheat,"Indore, MP",30.31,1343
2026-05-27,wheat,"Indore, MP",31.32,1454
2026-06-03,wheat,"Indore, MP",27.4,233
2026-06-10,wheat,"Indore, MP",27.33,1326
2026-06-17,wheat,"Indore, MP",29.03,1619
2026-06-24,wheat,"Indore, MP",27.61,1318
2026-07-01,wheat,"Indore, MP",24.94,984
2026-07-08,wheat,"Indore, MP",23.99,485
2026-07-15,wheat,"Indore, MP",24.65,237
2026-07-22,wheat,"Indore, MP",24.38,1082
2026-07-29,wheat,"Indore, MP",24.61,414
2025-01-01,wheat,"Dehradun, Uttarakhand",21.98,365
2025-01-08,wheat,"Dehradun, Uttarakhand",22.41,235
2025-01-15,wheat,"Dehradun, Uttarakhand",21.83,933
2025-01-22,wheat,"Dehradun, Uttarakhand",20.87,1035
2025-01-29,wheat,"Dehradun, Uttarakhand",21.18,800
2025-02-05,wheat,"Dehradun, Uttarakhand",23.6,779
2025-02-12,wheat,"Dehradun, Uttarakhand",24.1,703
2025-02-19,wheat,"Dehradun, Uttarakhand",25.78,779
2025-02-26,wheat,"Dehradun, Uttarakhand",25.77,1441
2025-03-05,wheat,"Dehradun, Uttarakhand",26.27,372
2025-03-12,wheat,"Dehradun, Uttarakhand",25.54,1096
2025-03-19,wheat,"Dehradun, Uttarakhand",28.76,796
2025-03-26,wheat,"Dehradun, Uttarakhand",27.65,1478
2025-04-02,wheat,"Dehradun, Uttarakhand",28.44,1475
2025-04-09,wheat,"Dehradun, Uttarakhand",29.47,573
2025-04-16,wheat,"Dehradun, Uttarakhand",26.37,497
2025-04-23,wheat,"Dehradun, Uttarakhand",26.75,1337
2025-04-30,wheat,"Dehradun, Uttarakhand",28.25,604
2025-05-07,wheat,"Dehradun, Uttarakhand",27.97,1456
2025-05-14,wheat,"Dehradun, Uttarakhand",26.25,1203
2025-05-21,wheat,"Dehradun, Uttarakhand",28.18,424
2025-05-28,wheat,"Dehradun, Uttarakhand",28.44,1768
2025-06-04,wheat,"Dehradun, Uttarakhand",24.16,262
2025-06-11,wheat,"Dehradun, Uttarakhand",24.81,1215
2025-06-18,wheat,"Dehradun, Uttarakhand",26.8,805
2025-06-25,wheat,"Dehradun, Uttarakhand",26.08,336
2025-07-02,wheat,"Dehradun, Uttarakhand",23.14,1015
2025-07-09,wheat,"Dehradun, Uttarakhand",21.56,1204
2025-07-16,wheat,"Dehradun, Uttarakhand",23.62,980
2025-07-23,wheat,"Dehradun, Uttarakhand",21.66,1478
2025-07-30,wheat,"Dehradun, Uttarakhand",23.48,651
2025-08-06,wheat,"Dehradun, Uttarakhand",19.72,596
2025-08-13,wheat,"Dehradun, Uttarakhand",19.92,563
2025-08-20,wheat,"Dehradun, Uttarakhand",20.76,1110
2025-08-27,wheat,"Dehradun, Uttarakhand",19.0,1267
2025-09-03,wheat,"Dehradun, Uttarakhand",18.17,1000
2025-09-10,wheat,"Dehradun, Uttarakhand",18.34,600
2025-09-17,wheat,"Dehradun, Uttarakhand",18.41,1140
2025-09-24,wheat,"Dehradun, Uttarakhand",17.43,979
2025-10-01,wheat,"Dehradun, Uttarakhand",17.25,621
2025-10-08,wheat,"Dehradun, Uttarakhand",17.06,862
2025-10-15,wheat,"Dehradun, Uttarakhand",16.73,980
2025-10-22,wheat,"Dehradun, Uttarakhand",17.91,234
2025-10-29,wheat,"Dehradun, Uttarakhand",18.03,387
2025-11-05,wheat,"Dehradun, Uttarakhand",17.95,778
2025-11-12,wheat,"Dehradun, Uttarakhand",17.78,185
2025-11-19,wheat,"Dehradun, Uttarakhand",18.82,341
2025-11-26,wheat,"Dehradun, Uttarakhand",17.45,969
2025-12-03,wheat,"Dehradun, Uttarakhand",19.82,1176
2025-12-10,wheat,"Dehradun, Uttarakhand",20.71,489
2025-12-17,wheat,"Dehradun, Uttarakhand",19.05,1253
2025-12-24,wheat,"Dehradun, Uttarakhand",19.26,994
2025-12-31,wheat,"Dehradun, Uttarakhand",20.25,1037
2026-01-07,wheat,"Dehradun, Uttarakhand",23.73,1039
2026-01-14,wheat,"Dehradun, Uttarakhand",23.2,1230
2026-01-21,wheat,"Dehradun, Uttarakhand",22.11,488
2026-01-28,wheat,"Dehradun, Uttarakhand",23.8,598
2026-02-04,wheat,"Dehradun, Uttarakhand",26.45,917
2026-02-11,wheat,"Dehradun, Uttarakhand",26.32,847
2026-02-18,wheat,"Dehradun, Uttarakhand",27.02,708
2026-02-25,wheat,"Dehradun, Uttarakhand",26.91,621
2026-03-04,wheat,"Dehradun, Uttarakhand",27.58,434
2026-03-11,wheat,"Dehradun, Uttarakhand",27.41,432
2026-03-18,wheat,"Dehradun, Uttarakhand",28.61,1448
2026-03-25,wheat,"Dehradun, Uttarakhand",27.43,585
2026-04-01,wheat,"Dehradun, Uttarakhand",29.27,1427
2026-04-08,wheat,"Dehradun, Uttarakhand",31.03,1102
2026-04-15,wheat,"Dehradun, Uttarakhand",28.61,413
2026-04-22,wheat,"Dehradun, Uttarakhand",28.32,619
2026-04-29,wheat,"Dehradun, Uttarakhand",28.3,272
2026-05-06,wheat,"Dehradun, Uttarakhand",28.78,677
2026-05-13,wheat,"Dehradun, Uttarakhand",30.33,1118
2026-05-20,wheat,"Dehradun, Uttarakhand",29.4,443
2026-05-27,wheat,"Dehradun, Uttarakhand",30.02,1019
2026-06-03,wheat,"Dehradun, Uttarakhand",27.8,1064
2026-06-10,wheat,"Dehradun, Uttarakhand",26.53,869
2026-06-17,wheat,"Dehradun, Uttarakhand",25.65,300
2026-06-24,wheat,"Dehradun, Uttarakhand",28.09,923
2026-07-01,wheat,"Dehradun, Uttarakhand",24.65,720
2026-07-08,wheat,"Dehradun, Uttarakhand",22.54,1018
2026-07-15,wheat,"Dehradun, Uttarakhand",22.51,393
2026-07-22,wheat,"Dehradun, Uttarakhand",23.98,594
2026-07-29,wheat,"Dehradun, Uttarakhand",25.23,353
2025-01-01,rice,"Sonipat, Haryana",28.88,988
2025-01-08,rice,"Sonipat, Haryana",28.99,493
2025-01-15,rice,"Sonipat, Haryana",28.26,785
2025-01-22,rice,"Sonipat, Haryana",28.06,1318
2025-01-29,rice,"Sonipat, Haryana",29.63,596
2025-02-05,rice,"Sonipat, Haryana",25.04,868
2025-02-12,rice,"Sonipat, Haryana",25.36,1252
2025-02-19,rice,"Sonipat, Haryana",24.07,415
2025-02-26,rice,"Sonipat, Haryana",25.21,353
2025-03-05,rice,"Sonipat, Haryana",21.51,233
2025-03-12,rice,"Sonipat, Haryana",21.15,615
2025-03-19,rice,"Sonipat, Haryana",22.49,453
2025-03-26,rice,"Sonipat, Haryana",21.71,876
2025-04-02,rice,"Sonipat, Haryana",21.81,592
2025-04-09,rice,"Sonipat, Haryana",21.79,1050
2025-04-16,rice,"Sonipat, Haryana",22.03,759
2025-04-23,rice,"Sonipat, Haryana",21.78,1060
2025-04-30,rice,"Sonipat, Haryana",21.29,680
2025-05-07,rice,"Sonipat, Haryana",22.76,1081
2025-05-14,rice,"Sonipat, Haryana",23.19,229
2025-05-21,rice,"Sonipat, Haryana",21.72,470
2025-05-28,rice,"Sonipat, Haryana",23.06,736
2025-06-04,rice,"Sonipat, Haryana",24.62,316
2025-06-11,rice,"Sonipat, Haryana",25.65,970
2025-06-18,rice,"Sonipat, Haryana",26.31,744
2025-06-25,rice,"Sonipat, Haryana",25.2,266
2025-07-02,rice,"Sonipat, Haryana",27.52,761
2025-07-09,rice,"Sonipat, Haryana",28.36,525
2025-07-16,rice,"Sonipat, Haryana",27.72,1450
2025-07-23,rice,"Sonipat, Haryana",29.9,947
2025-07-30,rice,"Sonipat, Haryana",30.26,1499
2025-08-06,rice,"Sonipat, Haryana",33.17,619
2025-08-13,rice,"Sonipat, Haryana",31.14,1331
2025-08-20,rice,"Sonipat, Haryana",32.58,1177
2025-08-27,rice,"Sonipat, Haryana",34.06,490
2025-09-03,rice,"Sonipat, Haryana",35.7,1247
2025-09-10,rice,"Sonipat, Haryana",35.4,387
2025-09-17,rice,"Sonipat, Haryana",34.92,770
2025-09-24,rice,"Sonipat, Haryana",36.1,1599
2025-10-01,rice,"Sonipat, Haryana",35.89,1377
2025-10-08,rice,"Sonipat, Haryana",35.77,1785
2025-10-15,rice,"Sonipat, Haryana",37.72,1143
2025-10-22,rice,"Sonipat, Haryana",36.44,761
2025-10-29,rice,"Sonipat, Haryana",36.0,1826
2025-11-05,rice,"Sonipat, Haryana",35.35,1057
2025-11-12,rice,"Sonipat, Haryana",37.47,1283
2025-11-19,rice,"Sonipat, Haryana",35.91,896
2025-11-26,rice,"Sonipat, Haryana",34.68,815
2025-12-03,rice,"Sonipat, Haryana",33.98,1139
2025-12-10,rice,"Sonipat, Haryana",34.03,522
2025-12-17,rice,"Sonipat, Haryana",33.36,1581
2025-12-24,rice,"Sonipat, Haryana",33.02,1246
2025-12-31,rice,"Sonipat, Haryana",32.0,1648
2026-01-07,rice,"Sonipat, Haryana",29.91,511
2026-01-14,rice,"Sonipat, Haryana",28.6,916
2026-01-21,rice,"Sonipat, Haryana",29.8,321
2026-01-28,rice,"Sonipat, Haryana",31.13,1386
2026-02-04,rice,"Sonipat, Haryana",25.88,308
2026-02-11,rice,"Sonipat, Haryana",26.87,741
2026-02-18,rice,"Sonipat, Haryana",26.6,753
2026-02-25,rice,"Sonipat, Haryana",25.47,1124
2026-03-04,rice,"Sonipat, Haryana",24.47,404
2026-03-11,rice,"Sonipat, Haryana",23.49,547
2026-03-18,rice,"Sonipat, Haryana",24.38,674
2026-03-25,rice,"Sonipat, Haryana",24.31,1036
2026-04-01,rice,"Sonipat, Haryana",21.93,920
2026-04-08,rice,"Sonipat, Haryana",22.27,1060
2026-04-15,rice,"Sonipat, Haryana",22.49,950
2026-04-22,rice,"Sonipat, Haryana",22.01,441
2026-04-29,rice,"Sonipat, Haryana",22.71,1123
2026-05-06,rice,"Sonipat, Haryana",23.52,308
2026-05-13,rice,"Sonipat, Haryana",23.66,508
2026-05-20,rice,"Sonipat, Haryana",23.71,710
2026-05-27,rice,"Sonipat, Haryana",23.5,484
2026-06-03,rice,"Sonipat, Haryana",25.57,968
2026-06-10,rice,"Sonipat, Haryana",26.6,440
2026-06-17,rice,"Sonipat, Haryana",27.17,224
2026-06-24,rice,"Sonipat, Haryana",27.11,977
2026-07-01,rice,"Sonipat, Haryana",31.21,701
2026-07-08,rice,"Sonipat, Haryana",30.79,1266
2026-07-15,rice,"Sonipat, Haryana",31.78,843
2026-07-22,rice,"Sonipat, Haryana",28.95,852
2026-07-29,rice,"Sonipat, Haryana",30.65,1330
2025-01-01,rice,"Nashik, Maharashtra",31.6,772
2025-01-08,rice,"Nashik, Maharashtra",30.57,794
2025-01-15,rice,"Nashik, Maharashtra",31.2,732
2025-01-22,rice,"Nashik, Maharashtra",31.03,400
2025-01-29,rice,"Nashik, Maharashtra",30.49,1459
2025-02-05,rice,"Nashik, Maharashtra",26.35,962
2025-02-12,rice,"Nashik, Maharashtra",27.21,1143
2025-02-19,rice,"Nashik, Maharashtra",27.78,1152
2025-02-26,rice,"Nashik, Maharashtra",26.54,535
2025-03-05,rice,"Nashik, Maharashtra",24.6,930
2025-03-12,rice,"Nashik, Maharashtra",25.0,193
2025-03-19,rice,"Nashik, Maharashtra",23.08,799
2025-03-26,rice,"Nashik, Maharashtra",25.16,1172
2025-04-02,rice,"Nashik, Maharashtra",23.71,573
2025-04-09,rice,"Nashik, Maharashtra",22.23,767
2025-04-16,rice,"Nashik, Maharashtra",24.04,582
2025-04-23,rice,"Nashik, Maharashtra",23.65,1030
2025-04-30,rice,"Nashik, Maharashtra",22.17,926
2025-05-07,rice,"Nashik, Maharashtra",23.78,538
2025-05-14,rice,"Nashik, Maharashtra",23.45,697
2025-05-21,rice,"Nashik, Maharashtra",24.49,963
2025-05-28,rice,"Nashik, Maharashtra",23.55,237
2025-06-04,rice,"Nashik, Maharashtra",28.23,879
2025-06-11,rice,"Nashik, Maharashtra",26.54,1213
2025-06-18,rice,"Nashik, Maharashtra",26.3,699
2025-06-25,rice,"Nashik, Maharashtra",26.63,465
2025-07-02,rice,"Nashik, Maharashtra",29.7,1246
2025-07-09,rice,"Nashik, Maharashtra",32.52,1080
2025-07-16,rice,"Nashik, Maharashtra",30.22,774
2025-07-23,rice,"Nashik, Maharashtra",30.84,963
2025-07-30,rice,"Nashik, Maharashtra",31.79,751
2025-08-06,rice,"Nashik, Maharashtra",34.42,1461
2025-08-13,rice,"Nashik, Maharashtra",34.27,787
2025-08-20,rice,"Nashik, Maharashtra",35.31,571
2025-08-27,rice,"Nashik, Maharashtra",35.66,1065
2025-09-03,rice,"Nashik, Maharashtra",40.21,710
2025-09-10,rice,"Nashik, Maharashtra",40.19,1284
2025-09-17,rice,"Nashik, Maharashtra",37.52,1138
2025-09-24,rice,"Nashik, Maharashtra",39.14,1420
2025-10-01,rice,"Nashik, Maharashtra",37.74,1235
2025-10-08,rice,"Nashik, Maharashtra",39.55,1719
2025-10-15,rice,"Nashik, Maharashtra",38.75,1548
2025-10-22,rice,"Nashik, Maharashtra",40.06,822
2025-10-29,rice,"Nashik, Maharashtra",40.21,1258
2025-11-05,rice,"Nashik, Maharashtra",39.33,1383
2025-11-12,rice,"Nashik, Maharashtra",39.29,1569
2025-11-19,rice,"Nashik, Maharashtra",39.21,1671
2025-11-26,rice,"Nashik, Maharashtra",39.32,731
2025-12-03,rice,"Nashik, Maharashtra",35.66,1072
2025-12-10,rice,"Nashik, Maharashtra",36.74,356
2025-12-17,rice,"Nashik, Maharashtra",35.2,1318
2025-12-24,rice,"Nashik, Maharashtra",34.8,418
2025-12-31,rice,"Nashik, Maharashtra",36.14,1645
2026-01-07,rice,"Nashik, Maharashtra",32.13,1387
2026-01-14,rice,"Nashik, Maharashtra",33.12,534
2026-01-21,rice,"Nashik, Maharashtra",33.13,826
2026-01-28,rice,"Nashik, Maharashtra",33.1,1170
2026-02-04,rice,"Nashik, Maharashtra",27.68,306
2026-02-11,rice,"Nashik, Maharashtra",29.46,335
2026-02-18,rice,"Nashik, Maharashtra",29.5,1153
2026-02-25,rice,"Nashik, Maharashtra",28.84,1289
2026-03-04,rice,"Nashik, Maharashtra",26.46,976
